Date, 2018Q3 GDP Estimate 
27-Jul,2.72
30-Jul,2.87
31-Jul,2.86
1-Aug,2.87
2-Aug,2.87
3-Aug,3.02
6-Aug,3.03
7-Aug,
8-Aug,
9-Aug,
10-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
31-Aug,
3-Sep,
4-Sep,
5-Sep,
6-Sep,
7-Sep,
10-Sep,
11-Sep,
12-Sep,
13-Sep,
14-Sep,
17-Sep,
18-Sep,
19-Sep,
20-Sep,
21-Sep,
24-Sep,
25-Sep,
26-Sep,
27-Sep,
28-Sep,
1-Oct,
2-Oct,
3-Oct,
4-Oct,
5-Oct,
8-Oct,
9-Oct,
10-Oct,
11-Oct,
12-Oct,
15-Oct,
16-Oct,
17-Oct,
18-Oct,
19-Oct,
22-Oct,
23-Oct,
24-Oct,
25-Oct,
,
,
,
,
,
,
