Date, 2018Q2 GDP Estimate 
30-Apr,3.08
1-May,3.08
2-May,3.03
3-May,3.04
4-May,3.04
7-May,2.96
8-May,2.94
9-May,2.91
10-May,2.9
11-May,2.9
14-May,2.89
15-May,2.92
16-May,2.92
17-May,2.92
18-May,2.89
21-May,2.94
22-May,2.94
23-May,2.93
24-May,2.95
25-May,
28-May,
29-May,
30-May,
31-May,
1-Jun,
4-Jun,
5-Jun,
6-Jun,
7-Jun,
8-Jun,
11-Jun,
12-Jun,
13-Jun,
14-Jun,
15-Jun,
18-Jun,
19-Jun,
20-Jun,
21-Jun,
22-Jun,
25-Jun,
26-Jun,
27-Jun,
28-Jun,
29-Jun,
2-Jul,
3-Jul,
4-Jul,
5-Jul,
6-Jul,
9-Jul,
10-Jul,
11-Jul,
12-Jul,
13-Jul,
16-Jul,
17-Jul,
18-Jul,
19-Jul,
20-Jul,
23-Jul,
24-Jul,
25-Jul,
26-Jul,
27-Jul,
